sku,policy,train_daily_mean,train_daily_std,lead_days_assumed,common_initial_on_hand,warmup_days,safety_stock_units,reorder_point_units,order_quantity_eoq_units,estimated_purchase_price_gbp,requested_units,filled_units,unfilled_units,days_with_shortage,simulated_fill_rate,average_ending_on_hand,orders
23298,no_safety_stock,24.40740740740741,44.78113288271025,3,767,30,0,74,693,2.97,1427,1282,145,3,0.8983882270497547,410.8688524590164,2
23298,95pct_normal_buffer,24.40740740740741,44.78113288271025,3,767,30,128,202,693,2.97,1427,1282,145,3,0.8983882270497547,490.39344262295083,2
22386,no_safety_stock,53.300411522633745,87.84441237184022,3,1739,30,0,160,1579,1.248,4849,3882,967,2,0.8005774386471437,748.5245901639345,3
22386,95pct_normal_buffer,53.300411522633745,87.84441237184022,3,1739,30,251,411,1579,1.248,4849,3824,1025,2,0.7886162095277377,1002.6229508196722,3
22720,no_safety_stock,19.102880658436213,33.13573562090619,3,671,30,0,58,613,2.97,1183,1183,0,0,1.0,324.44262295081967,2
22720,95pct_normal_buffer,19.102880658436213,33.13573562090619,3,671,30,95,153,613,2.97,1183,1183,0,0,1.0,394.78688524590166,2
79321,no_safety_stock,19.17283950617284,55.28239825459747,3,628,30,0,58,570,3.4499999999999997,2920,1872,1048,7,0.6410958904109589,296.5245901639344,3
79321,95pct_normal_buffer,19.17283950617284,55.28239825459747,3,628,30,158,216,570,3.4499999999999997,2920,2416,504,4,0.8273972602739726,363.344262295082,4
20725,no_safety_stock,54.53909465020576,67.70305786155492,3,1958,30,0,164,1794,0.9899999999999999,3358,3267,91,1,0.9729005360333531,955.8360655737705,1
20725,95pct_normal_buffer,54.53909465020576,67.70305786155492,3,1958,30,193,357,1794,0.9899999999999999,3358,3358,0,0,1.0,1011.2459016393443,1
23203,no_safety_stock,44.29218106995885,96.92768572975297,3,1573,30,0,133,1440,1.248,6316,5114,1202,11,0.8096896770107663,669.1311475409836,4
23203,95pct_normal_buffer,44.29218106995885,96.92768572975297,3,1573,30,277,410,1440,1.248,6316,6258,58,1,0.9908169727675744,861.9344262295082,4
85099F,no_safety_stock,50.89711934156379,102.66072719897755,3,1696,30,0,153,1543,1.248,2744,1834,910,2,0.6683673469387755,719.5573770491803,2
85099F,95pct_normal_buffer,50.89711934156379,102.66072719897755,3,1696,30,293,446,1543,1.248,2744,2744,0,0,1.0,1051.0983606557377,1
22960,no_safety_stock,21.695473251028808,31.907631734350684,3,771,30,0,66,705,2.55,1711,1682,29,4,0.9830508474576272,329.59016393442624,2
22960,95pct_normal_buffer,21.695473251028808,31.907631734350684,3,771,30,91,157,705,2.55,1711,1711,0,0,1.0,478.6393442622951,2
22197,no_safety_stock,104.53909465020575,331.1086335091566,3,3774,30,0,314,3460,0.51,18367,15401,2966,7,0.8385147275004083,1396.8360655737704,4
22197,95pct_normal_buffer,104.53909465020575,331.1086335091566,3,3774,30,944,1258,3460,0.51,18367,18209,158,1,0.9913976152882887,2327.967213114754,5
21931,no_safety_stock,36.864197530864196,48.2266737396835,3,1424,30,0,111,1313,1.248,2455,2359,96,1,0.9608961303462322,608.3934426229508,2
21931,95pct_normal_buffer,36.864197530864196,48.2266737396835,3,1424,30,138,249,1313,1.248,2455,2455,0,0,1.0,755.4590163934427,1
23199,no_safety_stock,40.96707818930041,92.78673976902591,3,1508,30,0,123,1385,1.248,3283,3278,5,1,0.9984770027413951,818.4098360655738,2
23199,95pct_normal_buffer,40.96707818930041,92.78673976902591,3,1508,30,265,388,1385,1.248,3283,3283,0,0,1.0,998.9016393442623,2
82484,no_safety_stock,12.786008230452675,37.17497561110004,3,435,30,0,39,396,4.77,658,658,0,0,1.0,183.49180327868854,1
82484,95pct_normal_buffer,12.786008230452675,37.17497561110004,3,435,30,106,145,396,4.77,658,658,0,0,1.0,274.37704918032784,2
22178,no_safety_stock,64.09876543209876,81.31566970126615,3,2427,30,0,193,2234,0.75,5133,5072,61,1,0.9881161114358075,1334.1803278688524,2
22178,95pct_normal_buffer,64.09876543209876,81.31566970126615,3,2427,30,232,425,2234,0.75,5133,5072,61,1,0.9881161114358075,1480.672131147541,2
22423,no_safety_stock,34.67078189300412,41.57307926572256,7,757,30,0,243,514,7.6499999999999995,2137,2074,63,1,0.9705194197473093,291.04918032786884,4
22423,95pct_normal_buffer,34.67078189300412,41.57307926572256,7,757,30,181,424,514,7.6499999999999995,2137,2137,0,0,1.0,415.37704918032784,5
47566,no_safety_stock,62.75308641975309,75.17300116445406,7,1551,30,0,440,1111,2.97,1536,1536,0,0,1.0,791.7213114754098,1
47566,95pct_normal_buffer,62.75308641975309,75.17300116445406,7,1551,30,328,768,1111,2.97,1536,1536,0,0,1.0,1101.344262295082,1
23166,no_safety_stock,315.10699588477365,4760.374357291917,7,7159,30,0,2206,4953,0.75,909,909,0,0,1.0,6512.0327868852455,0
23166,95pct_normal_buffer,315.10699588477365,4760.374357291917,7,7159,30,20719,22925,4953,0.75,909,909,0,0,1.0,26324.032786885247,0
85123A,no_safety_stock,99.1522633744856,253.61182160716712,7,2504,30,0,695,1809,1.77,6646,6608,38,1,0.9942822750526633,994.9344262295082,4
85123A,95pct_normal_buffer,99.1522633744856,253.61182160716712,7,2504,30,1104,1799,1809,1.77,6646,6646,0,0,1.0,1908.655737704918,4
85099B,no_safety_stock,121.38271604938272,161.4722222024761,7,3233,30,0,850,2383,1.248,11321,8157,3164,11,0.7205193887465772,1072.9016393442623,4
85099B,95pct_normal_buffer,121.38271604938272,161.4722222024761,7,3233,30,703,1553,2383,1.248,11321,10259,1062,3,0.9061920325059624,1582.1311475409836,4
22502,no_safety_stock,7.230452674897119,15.614029325504347,7,395,30,0,51,344,3.57,0,0,0,0,1.0,388.0,0
22502,95pct_normal_buffer,7.230452674897119,15.614029325504347,7,395,30,68,119,344,3.57,0,0,0,0,1.0,388.0,0
84879,no_safety_stock,89.22633744855968,234.43465098927712,7,2892,30,0,625,2267,1.014,8014,6782,1232,7,0.8462690291989019,1018.0983606557377,3
84879,95pct_normal_buffer,89.22633744855968,234.43465098927712,7,2892,30,1021,1646,2267,1.014,8014,8014,0,0,1.0,1892.1639344262296,4
23298,no_safety_stock,24.40740740740741,44.78113288271025,7,864,30,0,171,693,2.97,1427,1417,10,1,0.9929922915206727,371.08196721311475,2
23298,95pct_normal_buffer,24.40740740740741,44.78113288271025,7,864,30,195,366,693,2.97,1427,1343,84,4,0.9411352487736511,519.639344262295,2
22386,no_safety_stock,53.300411522633745,87.84441237184022,7,1953,30,0,374,1579,1.248,4849,3778,1071,6,0.779129717467519,717.5901639344262,3
22386,95pct_normal_buffer,53.300411522633745,87.84441237184022,7,1953,30,383,757,1579,1.248,4849,3895,954,4,0.8032584037945968,1012.9672131147541,3
22720,no_safety_stock,19.102880658436213,33.13573562090619,7,747,30,0,134,613,2.97,1183,1182,1,1,0.9991546914623838,312.08196721311475,2
22720,95pct_normal_buffer,19.102880658436213,33.13573562090619,7,747,30,145,279,613,2.97,1183,1183,0,0,1.0,452.73770491803276,2
79321,no_safety_stock,19.17283950617284,55.28239825459747,7,705,30,0,135,570,3.4499999999999997,2920,1837,1083,18,0.6291095890410959,249.8360655737705,3
79321,95pct_normal_buffer,19.17283950617284,55.28239825459747,7,705,30,241,376,570,3.4499999999999997,2920,2439,481,5,0.8352739726027397,394.2295081967213,4
20725,no_safety_stock,54.53909465020576,67.70305786155492,7,2176,30,0,382,1794,0.9899999999999999,3358,3281,77,2,0.9770696843359142,930.2295081967213,1
20725,95pct_normal_buffer,54.53909465020576,67.70305786155492,7,2176,30,295,677,1794,0.9899999999999999,3358,3358,0,0,1.0,1141.016393442623,2
23203,no_safety_stock,44.29218106995885,96.92768572975297,7,1751,30,0,311,1440,1.248,6316,4616,1700,11,0.7308423052564914,632.8032786885246,3
23203,95pct_normal_buffer,44.29218106995885,96.92768572975297,7,1751,30,422,733,1440,1.248,6316,5342,974,3,0.8457884737175427,889.2622950819672,3
85099F,no_safety_stock,50.89711934156379,102.66072719897755,7,1900,30,0,357,1543,1.248,2744,1919,825,5,0.6993440233236151,835.8852459016393,2
85099F,95pct_normal_buffer,50.89711934156379,102.66072719897755,7,1900,30,447,804,1543,1.248,2744,2744,0,0,1.0,1305.688524590164,1
22960,no_safety_stock,21.695473251028808,31.907631734350684,7,857,30,0,152,705,2.55,1711,1710,1,1,0.9994155464640561,306.8032786885246,2
22960,95pct_normal_buffer,21.695473251028808,31.907631734350684,7,857,30,139,291,705,2.55,1711,1711,0,0,1.0,506.8524590163934,2
22197,no_safety_stock,104.53909465020575,331.1086335091566,7,4192,30,0,732,3460,0.51,18367,11646,6721,18,0.6340719769151195,1338.0983606557377,3
22197,95pct_normal_buffer,104.53909465020575,331.1086335091566,7,4192,30,1442,2174,3460,0.51,18367,17766,601,4,0.967278270811782,1966.672131147541,5
21931,no_safety_stock,36.864197530864196,48.2266737396835,7,1572,30,0,259,1313,1.248,2455,2065,390,6,0.8411405295315683,662.8524590163935,2
21931,95pct_normal_buffer,36.864197530864196,48.2266737396835,7,1572,30,210,469,1313,1.248,2455,2455,0,0,1.0,817.360655737705,2
23199,no_safety_stock,40.96707818930041,92.78673976902591,7,1672,30,0,287,1385,1.248,3283,3203,80,3,0.975632043862321,711.7540983606557,2
23199,95pct_normal_buffer,40.96707818930041,92.78673976902591,7,1672,30,404,691,1385,1.248,3283,3283,0,0,1.0,1026.672131147541,2
82484,no_safety_stock,12.786008230452675,37.17497561110004,7,486,30,0,90,396,4.77,658,593,65,1,0.9012158054711246,237.29508196721312,1
82484,95pct_normal_buffer,12.786008230452675,37.17497561110004,7,486,30,162,252,396,4.77,658,658,0,0,1.0,318.88524590163934,2
22178,no_safety_stock,64.09876543209876,81.31566970126615,7,2683,30,0,449,2234,0.75,5133,5083,50,2,0.9902591077342685,1284.7540983606557,2
22178,95pct_normal_buffer,64.09876543209876,81.31566970126615,7,2683,30,354,803,2234,0.75,5133,5083,50,2,0.9902591077342685,1467.8688524590164,2
22423,no_safety_stock,34.67078189300412,41.57307926572256,14,1000,30,0,486,514,7.6499999999999995,2137,2137,0,0,1.0,321.327868852459,4
22423,95pct_normal_buffer,34.67078189300412,41.57307926572256,14,1000,30,256,742,514,7.6499999999999995,2137,2137,0,0,1.0,498.27868852459017,4
47566,no_safety_stock,62.75308641975309,75.17300116445406,14,1990,30,0,879,1111,2.97,1536,1536,0,0,1.0,1048.5901639344263,1
47566,95pct_normal_buffer,62.75308641975309,75.17300116445406,14,1990,30,463,1342,1111,2.97,1536,1536,0,0,1.0,1576.7704918032787,1
23166,no_safety_stock,315.10699588477365,4760.374357291917,14,9365,30,0,4412,4953,0.75,909,909,0,0,1.0,8718.032786885246,0
23166,95pct_normal_buffer,315.10699588477365,4760.374357291917,14,9365,30,29301,33713,4953,0.75,909,909,0,0,1.0,36406.11475409836,1
85123A,no_safety_stock,99.1522633744856,253.61182160716712,14,3198,30,0,1389,1809,1.77,6646,5111,1535,9,0.769034005416792,1156.1967213114754,3
85123A,95pct_normal_buffer,99.1522633744856,253.61182160716712,14,3198,30,1561,2950,1809,1.77,6646,6646,0,0,1.0,2395.065573770492,3
85099B,no_safety_stock,121.38271604938272,161.4722222024761,14,4083,30,0,1700,2383,1.248,11321,8019,3302,21,0.7083296528575215,826.2131147540983,4
85099B,95pct_normal_buffer,121.38271604938272,161.4722222024761,14,4083,30,994,2694,2383,1.248,11321,10084,1237,9,0.8907340340959279,1558.1475409836066,4
22502,no_safety_stock,7.230452674897119,15.614029325504347,14,446,30,0,102,344,3.57,0,0,0,0,1.0,439.0,0
22502,95pct_normal_buffer,7.230452674897119,15.614029325504347,14,446,30,97,199,344,3.57,0,0,0,0,1.0,439.0,0
84879,no_safety_stock,89.22633744855968,234.43465098927712,14,3517,30,0,1250,2267,1.014,8014,5997,2017,12,0.7483154479660594,927.1311475409836,2
84879,95pct_normal_buffer,89.22633744855968,234.43465098927712,14,3517,30,1443,2693,2267,1.014,8014,8001,13,1,0.9983778387821313,2001.5573770491803,4
23298,no_safety_stock,24.40740740740741,44.78113288271025,14,1035,30,0,342,693,2.97,1427,1302,125,4,0.9124036440084092,342.27868852459017,2
23298,95pct_normal_buffer,24.40740740740741,44.78113288271025,14,1035,30,276,618,693,2.97,1427,1427,0,0,1.0,589.655737704918,2
22386,no_safety_stock,53.300411522633745,87.84441237184022,14,2326,30,0,747,1579,1.248,4849,3669,1180,14,0.7566508558465663,693.8524590163935,2
22386,95pct_normal_buffer,53.300411522633745,87.84441237184022,14,2326,30,541,1288,1579,1.248,4849,4015,834,6,0.8280057743864714,1099.4098360655737,2
22720,no_safety_stock,19.102880658436213,33.13573562090619,14,881,30,0,268,613,2.97,1183,1169,14,2,0.9881656804733728,295.11475409836066,2
22720,95pct_normal_buffer,19.102880658436213,33.13573562090619,14,881,30,204,472,613,2.97,1183,1169,14,2,0.9881656804733728,465.95081967213116,2
79321,no_safety_stock,19.17283950617284,55.28239825459747,14,839,30,0,269,570,3.4499999999999997,2920,1433,1487,18,0.49075342465753424,188.72131147540983,2
79321,95pct_normal_buffer,19.17283950617284,55.28239825459747,14,839,30,341,610,570,3.4499999999999997,2920,2157,763,2,0.7386986301369863,427.42622950819674,4
20725,no_safety_stock,54.53909465020576,67.70305786155492,14,2558,30,0,764,1794,0.9899999999999999,3358,3013,345,5,0.8972602739726028,955.2786885245902,1
20725,95pct_normal_buffer,54.53909465020576,67.70305786155492,14,2558,30,417,1181,1794,0.9899999999999999,3358,3358,0,0,1.0,1317.1475409836066,2
23203,no_safety_stock,44.29218106995885,96.92768572975297,14,2061,30,0,621,1440,1.248,6316,4065,2251,14,0.6436035465484484,557.983606557377,3
23203,95pct_normal_buffer,44.29218106995885,96.92768572975297,14,2061,30,597,1218,1440,1.248,6316,4536,1780,14,0.7181760607979734,812.9344262295082,3
85099F,no_safety_stock,50.89711934156379,102.66072719897755,14,2256,30,0,713,1543,1.248,2744,1950,794,10,0.7106413994169096,778.7868852459017,2
85099F,95pct_normal_buffer,50.89711934156379,102.66072719897755,14,2256,30,632,1345,1543,1.248,2744,2744,0,0,1.0,1459.327868852459,2
22960,no_safety_stock,21.695473251028808,31.907631734350684,14,1009,30,0,304,705,2.55,1711,1555,156,7,0.9088252483927528,298.344262295082,2
22960,95pct_normal_buffer,21.695473251028808,31.907631734350684,14,1009,30,197,501,705,2.55,1711,1711,0,0,1.0,485.4918032786885,2
22197,no_safety_stock,104.53909465020575,331.1086335091566,14,4924,30,0,1464,3460,0.51,18367,9162,9205,24,0.49882942233353295,920.6229508196722,2
22197,95pct_normal_buffer,104.53909465020575,331.1086335091566,14,4924,30,2038,3502,3460,0.51,18367,14568,3799,6,0.7931616486089181,2169.754098360656,5
21931,no_safety_stock,36.864197530864196,48.2266737396835,14,1830,30,0,517,1313,1.248,2455,2134,321,10,0.8692464358452139,565.639344262295,2
21931,95pct_normal_buffer,36.864197530864196,48.2266737396835,14,1830,30,297,814,1313,1.248,2455,2455,0,0,1.0,860.1147540983607,2
23199,no_safety_stock,40.96707818930041,92.78673976902591,14,1959,30,0,574,1385,1.248,3283,3019,264,6,0.9195857447456595,619.1475409836065,2
23199,95pct_normal_buffer,40.96707818930041,92.78673976902591,14,1959,30,572,1146,1385,1.248,3283,3283,0,0,1.0,1109.327868852459,2
82484,no_safety_stock,12.786008230452675,37.17497561110004,14,576,30,0,180,396,4.77,658,627,31,2,0.952887537993921,263.9344262295082,1
82484,95pct_normal_buffer,12.786008230452675,37.17497561110004,14,576,30,229,409,396,4.77,658,658,0,0,1.0,486.78688524590166,2
22178,no_safety_stock,64.09876543209876,81.31566970126615,14,3132,30,0,898,2234,0.75,5133,5133,0,0,1.0,1213.0983606557377,2
22178,95pct_normal_buffer,64.09876543209876,81.31566970126615,14,3132,30,501,1399,2234,0.75,5133,5133,0,0,1.0,1359.5901639344263,3
