sku,policy,train_daily_mean,train_daily_std,lead_days_assumed,common_initial_on_hand,warmup_days,safety_stock_units,reorder_point_units,order_quantity_eoq_units,estimated_purchase_price_gbp,requested_units,filled_units,unfilled_units,days_with_shortage,simulated_fill_rate,average_ending_on_hand,orders
23298,no_safety_stock,24.40740740740741,44.78113288271025,7,864,30,0,171,693,2.97,1427,1417,10,1,0.9929922915206727,371.08196721311475,2
23298,95pct_normal_buffer,24.40740740740741,44.78113288271025,7,864,30,195,366,693,2.97,1427,1343,84,4,0.9411352487736511,519.639344262295,2
22386,no_safety_stock,53.300411522633745,87.84441237184022,7,1953,30,0,374,1579,1.248,4849,3778,1071,6,0.779129717467519,717.5901639344262,3
22386,95pct_normal_buffer,53.300411522633745,87.84441237184022,7,1953,30,383,757,1579,1.248,4849,3895,954,4,0.8032584037945968,1012.9672131147541,3
22720,no_safety_stock,19.102880658436213,33.13573562090619,7,747,30,0,134,613,2.97,1183,1182,1,1,0.9991546914623838,312.08196721311475,2
22720,95pct_normal_buffer,19.102880658436213,33.13573562090619,7,747,30,145,279,613,2.97,1183,1183,0,0,1.0,452.73770491803276,2
79321,no_safety_stock,19.17283950617284,55.28239825459747,7,705,30,0,135,570,3.4499999999999997,2920,1837,1083,18,0.6291095890410959,249.8360655737705,3
79321,95pct_normal_buffer,19.17283950617284,55.28239825459747,7,705,30,241,376,570,3.4499999999999997,2920,2439,481,5,0.8352739726027397,394.2295081967213,4
20725,no_safety_stock,54.53909465020576,67.70305786155492,7,2176,30,0,382,1794,0.9899999999999999,3358,3281,77,2,0.9770696843359142,930.2295081967213,1
20725,95pct_normal_buffer,54.53909465020576,67.70305786155492,7,2176,30,295,677,1794,0.9899999999999999,3358,3358,0,0,1.0,1141.016393442623,2
23203,no_safety_stock,44.29218106995885,96.92768572975297,7,1751,30,0,311,1440,1.248,6316,4616,1700,11,0.7308423052564914,632.8032786885246,3
23203,95pct_normal_buffer,44.29218106995885,96.92768572975297,7,1751,30,422,733,1440,1.248,6316,5342,974,3,0.8457884737175427,889.2622950819672,3
85099F,no_safety_stock,50.89711934156379,102.66072719897755,7,1900,30,0,357,1543,1.248,2744,1919,825,5,0.6993440233236151,835.8852459016393,2
85099F,95pct_normal_buffer,50.89711934156379,102.66072719897755,7,1900,30,447,804,1543,1.248,2744,2744,0,0,1.0,1305.688524590164,1
22960,no_safety_stock,21.695473251028808,31.907631734350684,7,857,30,0,152,705,2.55,1711,1710,1,1,0.9994155464640561,306.8032786885246,2
22960,95pct_normal_buffer,21.695473251028808,31.907631734350684,7,857,30,139,291,705,2.55,1711,1711,0,0,1.0,506.8524590163934,2
22197,no_safety_stock,104.53909465020575,331.1086335091566,7,4192,30,0,732,3460,0.51,18367,11646,6721,18,0.6340719769151195,1338.0983606557377,3
22197,95pct_normal_buffer,104.53909465020575,331.1086335091566,7,4192,30,1442,2174,3460,0.51,18367,17766,601,4,0.967278270811782,1966.672131147541,5
21931,no_safety_stock,36.864197530864196,48.2266737396835,7,1572,30,0,259,1313,1.248,2455,2065,390,6,0.8411405295315683,662.8524590163935,2
21931,95pct_normal_buffer,36.864197530864196,48.2266737396835,7,1572,30,210,469,1313,1.248,2455,2455,0,0,1.0,817.360655737705,2
23199,no_safety_stock,40.96707818930041,92.78673976902591,7,1672,30,0,287,1385,1.248,3283,3203,80,3,0.975632043862321,711.7540983606557,2
23199,95pct_normal_buffer,40.96707818930041,92.78673976902591,7,1672,30,404,691,1385,1.248,3283,3283,0,0,1.0,1026.672131147541,2
82484,no_safety_stock,12.786008230452675,37.17497561110004,7,486,30,0,90,396,4.77,658,593,65,1,0.9012158054711246,237.29508196721312,1
82484,95pct_normal_buffer,12.786008230452675,37.17497561110004,7,486,30,162,252,396,4.77,658,658,0,0,1.0,318.88524590163934,2
22178,no_safety_stock,64.09876543209876,81.31566970126615,7,2683,30,0,449,2234,0.75,5133,5083,50,2,0.9902591077342685,1284.7540983606557,2
22178,95pct_normal_buffer,64.09876543209876,81.31566970126615,7,2683,30,354,803,2234,0.75,5133,5083,50,2,0.9902591077342685,1467.8688524590164,2
